clusters,,0,1,2
9,마무리운동,"('전신 루틴 스트레칭', 1411)","('엉덩이 스트레칭', 868)","('하지 루틴 스트레칭2', 866)"
10,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 1359)","('전신 루틴 스트레칭', 1300)","('하지 루틴 스트레칭1', 969)"
10,본운동,"('앉았다 일어서기', 2529)","('엎드려 버티기', 1911)","('윗몸올리기', 1810)"
10,마무리운동,"('전신 루틴 스트레칭', 1480)","('정적 스트레칭  루틴프로그램', 939)","('하지 루틴 스트레칭2', 905)"
11,준비운동,"('전신 루틴 스트레칭', 455)","('유산소 운동 전 동적 루틴 스트레칭', 450)","('하지 루틴 스트레칭1', 304)"
11,본운동,"('앉았다 일어서기', 778)","('엎드려 버티기', 603)","('한발 앞으로 내밀고 앉았다 일어서기', 531)"
11,마무리운동,"('전신 루틴 스트레칭', 441)","('정적 스트레칭  루틴프로그램', 305)","('하지 루틴 스트레칭2', 257)"
12,준비운동,"('전신 루틴 스트레칭', 1533)","('동적 스트레칭 루틴프로그램', 1452)","('유산소 운동 전 동적 루틴 스트레칭', 1441)"
12,본운동,"('앉았다 일어서기', 3148)","('엎드려 버티기', 2199)","('윗몸올리기', 1987)"
12,마무리운동,"('전신 루틴 스트레칭', 1539)","('정적 스트레칭  루틴프로그램', 1216)","('하지 루틴 스트레칭2', 1003)"
13,준비운동,"('전신 루틴 스트레칭', 540)","('동적 스트레칭 루틴프로그램', 473)","('유산소 운동 전 동적 루틴 스트레칭', 373)"
13,본운동,"('앉았다 일어서기', 997)","('엎드려 버티기', 697)","('윗몸올리기', 650)"
13,마무리운동,"('정적 스트레칭  루틴프로그램', 385)","('전신 루틴 스트레칭', 364)","('하지 루틴 스트레칭2', 326)"
14,준비운동,"('전신 루틴 스트레칭', 1327)","('유산소 운동 전 동적 루틴 스트레칭', 1159)","('하지 루틴 스트레칭1', 979)"
14,본운동,"('앉았다 일어서기', 1887)","('엎드려 버티기', 1449)","('한발 앞으로 내밀고 앉았다 일어서기', 1328)"
14,마무리운동,"('전신 루틴 스트레칭', 1149)","('정적 스트레칭  루틴프로그램', 806)","('상지 루틴 스트레칭', 645)"
15,준비운동,"('전신 루틴 스트레칭', 345)","('목 스트레칭', 249)","('상지 루틴 스트레칭', 234)"
15,본운동,"('앉았다 일어서기', 644)","('엎드려 버티기', 381)","('윗몸올리기', 369)"
15,마무리운동,"('전신 루틴 스트레칭', 266)","('정적 스트레칭  루틴프로그램', 216)","('하지 루틴 스트레칭2', 213)"
16,준비운동,"('동적 스트레칭 루틴프로그램', 275)","('다리 벌려 옆으로 상체 숙이기', 222)","('다리 벌려 앞으로 상체 숙이기', 216)"
16,본운동,"('앉았다 일어서기', 441)","('팔굽혀펴기', 305)","('윗몸말아올리기', 296)"
16,마무리운동,"('정적 스트레칭  루틴프로그램', 250)","('전신 루틴 스트레칭', 131)","('누워서 굽힌 다리 펴기', 99)"
17,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 1055)","('전신 루틴 스트레칭', 1035)","('하지 루틴 스트레칭1', 770)"
17,본운동,"('앉았다 일어서기', 1625)","('엎드려 버티기', 1324)","('윗몸올리기', 1216)"
17,마무리운동,"('전신 루틴 스트레칭', 1066)","('정적 스트레칭  루틴프로그램', 605)","('하지 루틴 스트레칭2', 602)"
18,준비운동,"('전신 루틴 스트레칭', 186)","('유산소 운동 전 동적 루틴 스트레칭', 159)","('걷기', 154)"
18,본운동,"('앉았다 일어서기', 318)","('엎드려 버티기', 236)","('윗몸올리기', 229)"
18,마무리운동,"('전신 루틴 스트레칭', 167)","('정적 스트레칭  루틴프로그램', 122)","('하지 루틴 스트레칭2', 92)"
19,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 554)","('전신 루틴 스트레칭', 469)","('하지 루틴 스트레칭1', 421)"
19,본운동,"('앉았다 일어서기', 1283)","('엎드려 버티기', 902)","('윗몸올리기', 831)"
